num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,50.0,0.5,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.27
50.0,25.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.1
50.0,25.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.21
50.0,25.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.1
50.0,25.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,75.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,75.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,75.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.1
50.0,75.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,25.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.11
50.0,25.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,25.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,25.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.19
50.0,75.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,75.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,75.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,75.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,50.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.18
50.0,50.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
100.0,5.0,0.5,0.5,0.288,0.0837,0.0899,0.1255,0.1424,0.142,83383359528203.8,94690733583729.12,92765224374899.52,0.35
100.0,10.0,0.5,0.5,0.3777,0.0775,0.0872,0.1174,0.1429,0.1422,75330422513596.73,92993050995747.95,90837528961297.36,0.28
100.0,25.0,0.5,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.24
100.0,75.0,0.5,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.25
100.0,100.0,0.5,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.25
100.0,50.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.23
100.0,50.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.28
100.0,50.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
100.0,50.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.36
100.0,75.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
100.0,50.0,0.25,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.4
100.0,50.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.19
100.0,75.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.33
50.0,25.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,50.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,25.0,0.25,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.32
50.0,25.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,25.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,50.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
50.0,50.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
100.0,75.0,0.25,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.33
50.0,75.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,50.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,75.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,50.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,75.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,75.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,50.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
100.0,50.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,75.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.11
50.0,75.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,75.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
50.0,25.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,75.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
100.0,25.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.17
50.0,50.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
100.0,75.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.33
50.0,50.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,50.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.1
100.0,75.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.25
50.0,75.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,25.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.32
100.0,25.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
50.0,50.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,25.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.24
50.0,25.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,50.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
50.0,50.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,25.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,75.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,75.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
100.0,25.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.24
100.0,25.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.17
100.0,75.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.28
50.0,25.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,25.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
50.0,50.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.21
100.0,25.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,25.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,50.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,25.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,75.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.15
50.0,100.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,10.0,0.25,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.08
50.0,10.0,0.25,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
50.0,100.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,100.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,10.0,0.5,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
100.0,10.0,0.5,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,10.0,0.5,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.18
50.0,100.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
50.0,10.0,0.75,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.17
50.0,10.0,0.25,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.18
100.0,10.0,0.75,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.17
50.0,100.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.2
50.0,100.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
100.0,100.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.18
50.0,100.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
100.0,100.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.27
50.0,10.0,0.25,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.13
100.0,10.0,0.25,0.25,0.3295,0.0768,0.0936,0.1218,0.1429,0.1417,79043686815850.48,91991834473632.38,90958699281884.17,0.17
50.0,10.0,0.75,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.14
50.0,100.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.16
50.0,10.0,0.25,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,10.0,0.75,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.14
50.0,100.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.2
100.0,10.0,0.75,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,10.0,0.25,0.75,0.3997,0.0696,0.0959,0.1153,0.1435,0.1415,73505162029482.86,93478969290029.6,87928892031405.83,0.35
100.0,100.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,10.0,0.25,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.18
50.0,10.0,0.5,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,10.0,0.5,0.5,0.2781,0.0864,0.0947,0.1264,0.1422,0.1416,79788110887239.75,90529449462004.97,89326699095721.86,0.15
50.0,10.0,0.75,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.09
50.0,100.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,10.0,0.5,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.2
50.0,100.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.11
50.0,100.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,100.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,100.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.19
100.0,100.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
100.0,10.0,0.75,0.5,0.3777,0.0775,0.0872,0.1174,0.1429,0.1422,75330422513596.73,92993050995747.95,90837528961297.36,0.25
50.0,10.0,0.75,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.12
100.0,10.0,0.25,0.5,0.3777,0.0775,0.0872,0.1174,0.1429,0.1422,75330422513596.73,92993050995747.95,90837528961297.36,0.26
100.0,100.0,0.25,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.36
50.0,10.0,0.5,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.16
50.0,100.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
50.0,10.0,0.75,0.75,0.2953,0.0875,0.1042,0.1249,0.1421,0.1409,78577011631538.77,90406299093923.31,86434796372191.58,0.16
100.0,100.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.27
50.0,100.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,10.0,0.5,0.25,0.242,0.0841,0.0967,0.1295,0.1424,0.1415,82876599422338.5,91022514029140.25,89676172400900.36,0.1
100.0,100.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.38
50.0,100.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.18
50.0,100.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,100.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.16
50.0,5.0,0.75,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.12
100.0,5.0,0.75,0.25,0.2574,0.0876,0.0916,0.1282,0.1421,0.1419,86793522194738.36,95471075150785.0,93281904091199.44,0.25
100.0,5.0,0.5,0.75,0.2991,0.0845,0.0922,0.1246,0.1423,0.1418,81802213979015.72,92673240373737.03,91134365380812.5,0.45
100.0,5.0,0.25,0.75,0.2991,0.0845,0.0922,0.1246,0.1423,0.1418,81802213979015.72,92673240373737.03,91134365380812.5,0.44
50.0,5.0,0.75,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.16
50.0,5.0,0.5,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.12
50.0,5.0,0.75,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.21
50.0,5.0,0.5,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.16
50.0,5.0,0.25,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.19
50.0,5.0,0.25,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.23
50.0,5.0,0.75,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.13
50.0,5.0,0.75,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.21
100.0,5.0,0.5,0.25,0.2574,0.0876,0.0916,0.1282,0.1421,0.1419,86793522194738.36,95471075150785.0,93281904091199.44,0.9
50.0,5.0,0.25,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.94
50.0,5.0,0.5,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.22
100.0,5.0,0.25,0.25,0.2574,0.0876,0.0916,0.1282,0.1421,0.1419,86793522194738.36,95471075150785.0,93281904091199.44,0.22
50.0,5.0,0.25,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.12
50.0,5.0,0.5,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.16
50.0,5.0,0.5,0.75,0.2238,0.0943,0.1026,0.1311,0.1416,0.141,83361587787205.62,89763599455902.58,87901061912934.58,0.25
100.0,5.0,0.25,0.5,0.288,0.0837,0.0899,0.1255,0.1424,0.142,83383359528203.8,94690733583729.12,92765224374899.52,0.37
100.0,5.0,0.75,0.75,0.2991,0.0845,0.0922,0.1246,0.1423,0.1418,81802213979015.72,92673240373737.03,91134365380812.5,0.41
100.0,5.0,0.75,0.5,0.288,0.0837,0.0899,0.1255,0.1424,0.142,83383359528203.8,94690733583729.12,92765224374899.52,0.36
50.0,5.0,0.25,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.13
50.0,5.0,0.5,0.25,0.1918,0.0938,0.0996,0.1338,0.1416,0.1412,87622385670817.11,92256895507781.0,90497443516362.92,0.15
50.0,5.0,0.75,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.19
50.0,5.0,0.25,0.5,0.2141,0.0943,0.0994,0.1319,0.1416,0.1413,84199530042814.45,90742102432732.1,88875828417815.25,0.17
