n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
50.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,7.6
100.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,10.82
100.0,25.0,19421220.0,0.0,0.75,0.5,0.8619,0.3907,0.3819,0.0935,0.1964,0.1979,80697641463378.12,173623728889477.28,174285347878298.84,29.19
100.0,50.0,19421220.0,0.0001,0.75,0.5,0.4638,0.3961,0.3772,0.1843,0.1955,0.1987,170198202209303.94,183041449946469.0,185321640176088.66,30.56
100.0,50.0,19421220.0,0.0,0.5,0.5,0.7741,0.3961,0.3874,0.1196,0.1955,0.1971,103849591581472.83,173126772065692.6,174398923986590.62,21.11
100.0,100.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,31.27
100.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,31.25
50.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.66
50.0,100.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,21.9
50.0,25.0,19421220.0,0.01,0.5,0.75,0.2083,0.2116,0.208,0.2239,0.2234,0.2241,234909080675084.7,234352410124173.72,235292941810316.9,15.6
100.0,25.0,19421220.0,0.0001,0.5,0.5,0.4965,0.4016,0.3824,0.1786,0.1947,0.1979,163724915561624.12,180867047587905.0,183384428140990.66,21.37
50.0,50.0,19421220.0,0.0,0.75,0.5,0.8566,0.3811,0.376,0.0953,0.198,0.1989,80910874314758.19,173487019444628.25,174200818431134.47,14.52
50.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,4.85
50.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.6
100.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.53
100.0,10.0,19421220.0,0.01,0.5,0.5,0.191,0.1925,0.191,0.2263,0.2261,0.2265,244342182211092.2,244053107301140.03,244640457046533.12,14.82
50.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,21.88
100.0,25.0,19421220.0,0.0,0.5,0.5,0.7741,0.3965,0.3872,0.1196,0.1955,0.1971,103970385539073.86,173091051762203.78,174561268949472.2,21.07
100.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,14.17
50.0,25.0,19421220.0,0.01,0.5,0.5,0.1874,0.1898,0.1871,0.2268,0.2265,0.227,245982139535944.0,245576230523617.84,246320030983495.06,10.77
100.0,10.0,19421220.0,0.0001,0.5,0.75,0.5008,0.4015,0.3824,0.1778,0.1947,0.1979,162330555691510.12,180130419546057.06,182651601588912.3,21.54
50.0,10.0,19421220.0,0.0,0.75,0.5,0.6563,0.3962,0.3822,0.1475,0.1955,0.1979,129955124601085.2,177695120397308.44,179180973841010.97,9.72
100.0,5.0,19421220.0,0.0001,0.75,0.75,0.4016,0.3762,0.3599,0.1947,0.1987,0.2014,181937052153188.03,187661694537503.28,189832440253096.1,14.09
50.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.75
50.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,3.78
50.0,50.0,19421220.0,0.0001,0.5,0.5,0.4948,0.3995,0.3815,0.1789,0.195,0.198,163962115363416.06,181269964013720.78,183069443736513.9,10.74
100.0,10.0,19421220.0,0.0,0.5,0.75,0.6317,0.4015,0.3881,0.1527,0.1947,0.1969,135563191318443.19,176657536712257.44,177688574870464.44,21.42
50.0,50.0,19421220.0,0.01,0.75,0.75,0.2079,0.211,0.2081,0.224,0.2235,0.224,234966966095771.12,234434689186305.22,235235208662041.28,22.01
100.0,50.0,19421220.0,0.0,0.75,0.5,0.8617,0.3916,0.3837,0.0936,0.1963,0.1976,80624589369987.83,173370319589480.06,174083986949711.6,29.21
100.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,10.78
100.0,100.0,19421220.0,0.0,0.75,0.75,0.8614,0.3939,0.3773,0.0937,0.1959,0.1987,80098826524649.06,172269281825690.75,174678303616080.12,43.03
100.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.55
50.0,100.0,19421220.0,0.0001,0.75,0.75,0.4722,0.3961,0.3754,0.1828,0.1955,0.199,167463559492488.53,181573866574515.28,184765751834097.47,21.96
100.0,5.0,19421220.0,0.01,0.5,0.5,0.191,0.1925,0.191,0.2263,0.2261,0.2265,244342182211092.2,244053107301140.03,244640457046533.12,7.44
50.0,50.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,22.03
100.0,25.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,43.66
100.0,100.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.84
50.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,14.22
50.0,50.0,19421220.0,0.0001,0.75,0.75,0.4722,0.3961,0.3754,0.1828,0.1955,0.199,167463559492488.53,181573866574515.28,184765751834097.47,22.02
50.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.75
100.0,25.0,19421220.0,0.0001,0.75,0.75,0.4761,0.3986,0.3775,0.1821,0.1952,0.1986,166782631832467.38,181113368838955.25,184262303567628.2,43.55
50.0,100.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,22.03
100.0,50.0,19421220.0,0.0,0.5,0.75,0.7727,0.3914,0.3781,0.12,0.1963,0.1985,103936674454406.78,173664606180723.3,174998320282586.25,31.07
100.0,50.0,19421220.0,0.01,0.75,0.75,0.2089,0.2109,0.2087,0.2238,0.2235,0.224,233521009753440.88,233147258074121.28,233855984710115.28,44.29
50.0,5.0,19421220.0,0.01,0.75,0.75,0.2079,0.211,0.2081,0.224,0.2235,0.224,234966966095771.12,234434689186305.22,235235208662041.28,7.07
100.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,10.79
100.0,25.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.34
50.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,5.38
100.0,100.0,19421220.0,0.0001,0.5,0.5,0.4966,0.401,0.3827,0.1785,0.1947,0.1978,163734963148362.44,180963286103112.9,183328417992729.06,21.4
100.0,100.0,19421220.0,0.01,0.75,0.5,0.1918,0.1935,0.192,0.2262,0.226,0.2263,244008468297558.16,243684832015066.62,244264515720152.84,29.66
50.0,25.0,19421220.0,0.0,0.75,0.75,0.8558,0.3861,0.3724,0.0956,0.1972,0.1995,80518830001559.48,173241442358142.53,174341016208841.94,22.48
50.0,10.0,19421220.0,0.0001,0.5,0.5,0.4884,0.4005,0.3822,0.18,0.1948,0.1979,165301967637503.6,181282951787995.53,183902732545562.47,7.39
100.0,50.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,31.24
50.0,100.0,19421220.0,0.0,0.75,0.75,0.8561,0.3861,0.3749,0.0955,0.1972,0.1991,80370960502567.69,172847707194686.03,173946836949780.4,21.7
100.0,25.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.74
50.0,5.0,19421220.0,0.01,0.5,0.5,0.1874,0.1898,0.1871,0.2268,0.2265,0.227,245982139535944.0,245576230523617.84,246320030983495.06,3.72
100.0,100.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.34
100.0,25.0,19421220.0,0.0001,0.75,0.5,0.4642,0.3958,0.3777,0.1842,0.1956,0.1986,170138225109187.56,183080650294573.62,185364700024563.72,30.44
50.0,5.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,3.72
50.0,25.0,19421220.0,0.0001,0.5,0.75,0.5076,0.3975,0.3796,0.1766,0.1953,0.1983,160534978373581.56,179949642649459.94,182489482113863.62,15.62
50.0,10.0,19421220.0,0.01,0.5,0.75,0.2083,0.2116,0.208,0.2239,0.2234,0.2241,234909080675084.7,234352410124173.72,235292941810316.9,10.76
100.0,10.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,28.39
50.0,100.0,19421220.0,0.0001,0.5,0.5,0.4948,0.3995,0.3815,0.1789,0.195,0.198,163962115363416.06,181269964013720.78,183069443736513.9,10.7
50.0,100.0,19421220.0,0.01,0.5,0.75,0.2083,0.2116,0.208,0.2239,0.2234,0.2241,234909080675084.7,234352410124173.72,235292941810316.9,15.63
100.0,100.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,22.09
50.0,50.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,14.77
50.0,100.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.59
100.0,10.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,19.59
100.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.38
50.0,5.0,19421220.0,0.0001,0.5,0.5,0.3993,0.3774,0.3602,0.195,0.1985,0.2014,184399904661007.94,189339376520216.62,191477341411881.12,3.72
50.0,100.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,14.74
100.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,31.19
100.0,10.0,19421220.0,0.0001,0.75,0.5,0.4636,0.3959,0.3739,0.1843,0.1956,0.1992,170303810778664.7,182988197495038.75,186107489310216.56,20.32
50.0,10.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,7.46
50.0,5.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,3.73
100.0,25.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.37
100.0,5.0,19421220.0,0.0001,0.75,0.5,0.3992,0.376,0.3602,0.195,0.1988,0.2014,184462207558133.44,189773239157008.03,191649959741938.84,9.71
50.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,5.42
100.0,5.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,9.7
50.0,25.0,19421220.0,0.0001,0.75,0.5,0.4635,0.3934,0.3769,0.1843,0.196,0.1987,170015457580218.53,182952184421164.12,185138240055777.3,14.76
100.0,10.0,19421220.0,0.0001,0.75,0.75,0.473,0.3963,0.3758,0.1827,0.1955,0.1989,167210720399203.22,181247006575331.7,184166849781822.75,28.37
100.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,7.47
50.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,11.43
50.0,50.0,19421220.0,0.01,0.5,0.75,0.2083,0.2116,0.208,0.2239,0.2234,0.2241,234909080675084.7,234352410124173.72,235292941810316.9,15.65
50.0,50.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.64
100.0,10.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,28.43
100.0,5.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,9.73
50.0,5.0,19421220.0,0.0001,0.75,0.75,0.4011,0.3752,0.3592,0.1947,0.1989,0.2015,181982838696538.56,187779933093899.7,189878435501990.03,7.14
100.0,10.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,19.58
50.0,5.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,7.07
50.0,25.0,19421220.0,0.0,0.75,0.5,0.8565,0.3812,0.3748,0.0953,0.1979,0.1991,81057509913437.23,173801029588290.94,174199201769993.3,14.61
100.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,15.58
100.0,25.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,43.44
100.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,9.75
100.0,10.0,19421220.0,0.0001,0.5,0.5,0.4913,0.4011,0.3829,0.1795,0.1947,0.1978,164952522761614.47,181336234165940.44,183744585731769.78,14.88
50.0,25.0,19421220.0,0.0,0.5,0.5,0.7675,0.3918,0.379,0.1213,0.1963,0.1984,104324561596137.89,173040515651017.84,174444640653234.34,10.58
100.0,50.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.71
50.0,25.0,19421220.0,0.0001,0.75,0.75,0.4724,0.3963,0.3764,0.1828,0.1955,0.1988,167331196168780.88,181541855787932.44,184499597430368.28,22.66
50.0,10.0,19421220.0,0.0001,0.75,0.75,0.4698,0.396,0.3755,0.1832,0.1956,0.199,167535350203093.3,180963424317326.38,183889738987610.44,14.17
50.0,100.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,14.82
100.0,10.0,19421220.0,0.01,0.5,0.75,0.2095,0.2118,0.2094,0.2237,0.2234,0.2239,233402556456908.5,232980167745418.6,233740908347102.1,21.52
100.0,50.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,21.38
50.0,100.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.73
50.0,10.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,9.77
50.0,25.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.6
50.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,6.12
100.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,28.46
100.0,100.0,19421220.0,0.01,0.5,0.75,0.2095,0.2118,0.2094,0.2237,0.2234,0.2239,233402556456908.5,232980167745418.6,233740908347102.1,31.33
100.0,10.0,19421220.0,0.0,0.75,0.75,0.6654,0.3982,0.3852,0.1456,0.1952,0.1974,127882701277163.39,176525602787138.16,178019468060459.28,28.21
100.0,10.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,14.8
100.0,100.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,30.54
100.0,25.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.74
100.0,50.0,19421220.0,0.0001,0.75,0.75,0.4758,0.3981,0.3773,0.1822,0.1952,0.1987,166894379952315.94,181228312115955.84,184480178786629.9,43.46
50.0,5.0,19421220.0,0.0,0.75,0.5,0.4027,0.3774,0.3619,0.1945,0.1985,0.2011,183615113879883.22,189047409036775.25,190943189979315.44,4.87
50.0,100.0,19421220.0,0.0001,0.75,0.5,0.4627,0.3944,0.3766,0.1845,0.1958,0.1988,170234686375741.78,182996269058736.22,185030177893513.22,14.78
50.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.8
100.0,25.0,19421220.0,0.0001,0.5,0.75,0.5082,0.4023,0.3814,0.1765,0.1945,0.198,160631007043986.62,179538995245092.9,182520788976841.44,31.96
50.0,100.0,19421220.0,0.0,0.75,0.5,0.8566,0.3811,0.376,0.0953,0.198,0.1989,80910874314758.19,173487019444628.25,174200818431134.47,14.51
100.0,5.0,19421220.0,0.0,0.5,0.75,0.4067,0.3796,0.363,0.1938,0.1982,0.2009,180872806676056.44,186917832524331.88,188893969397282.78,10.78
